result,total_time,photo_test_name,time_cropped,time_predict
[],3.322438,HanhNguyen_324512849_5772098636242202_7009827643447157859_n_face_1.jpg,3.322438,0.0
"[{'target_node': '281605609_1834092600113789_7491222588183879240_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '320617177_1125905731621328_6916699168318632436_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '324237820_720287849683421_9174401543287348821_n_face_0.jpg', 'results': [{'photoName': '128425877_1447808202075566_3397941254130098398_n.jpg'}, {'photoName': '281736267_1834092493447133_1234979614122864447_n.jpg'}, {'photoName': '324237820_720287849683421_9174401543287348821_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '324893899_2132123837176590_3598786593678318630_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '326109993_1144490029546535_2343500172480965938_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '347788541_938048560578635_7398858451862090751_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '354222054_843077577424631_2694820480825142932_n_face_0.jpg', 'results': [{'photoName': '311455849_692191939179863_4994659931600874381_n.jpg'}, {'photoName': '320617177_1125905731621328_6916699168318632436_n.jpg'}, {'photoName': '321748502_434046655480127_8308768698659515434_n.jpg'}, {'photoName': '330120126_1190870491820445_872913362204424529_n.jpg'}, {'photoName': '351161878_101980566257546_7568199001054125114_n.jpg'}, {'photoName': '354222054_843077577424631_2694820480825142932_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '365977950_650853723773450_5063078229328757805_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '393260578_3650908808472220_8434419410379710075_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '400447193_894766958667505_7707180124773793803_n_face_2.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '407088160_3639340409688639_6417481514085222304_n_face_1.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '407104376_3639388653017148_8495028654946615563_n_face_3.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '407952913_3639388379683842_5678858926668568693_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '407988834_3639388743017139_4769678490735192250_n_face_1.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '407997752_3639388409683839_7982321710152362091_n_face_13.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '53709967_2044216879211383_7081050961019404288_n_face_1.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '57039929_2063518567281214_4897465467196669952_n_face_2.jpg', 'results': [{'photoName': '407988834_3639388743017139_4769678490735192250_n.jpg'}, {'photoName': '57039929_2063518567281214_4897465467196669952_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '71032160_2263794153932339_531970139566899200_n_face_1.jpg', 'results': [{'photoName': '281605609_1834092600113789_7491222588183879240_n.jpg'}, {'photoName': '281731418_1834092586780457_739955116613411023_n.jpg'}, {'photoName': '281832458_1834092620113787_2356840837714835516_n.jpg'}, {'photoName': '365977950_650853723773450_5063078229328757805_n.jpg'}, {'photoName': '399625242_359882613160592_6481206554306262958_n.jpg'}, {'photoName': '407952913_3639388379683842_5678858926668568693_n.jpg'}, {'photoName': '71032160_2263794153932339_531970139566899200_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '93060484_1086635208376112_2783265646782185472_n_face_1.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '93060484_1086635208376112_2783265646782185472_n_face_8.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}]",3.088847,HanhNguyen_324512849_5772098636242202_7009827643447157859_n_face_2.jpg,3.088847,0.0
"[{'target_node': '324893899_2132123837176590_3598786593678318630_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '326109993_1144490029546535_2343500172480965938_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '407137485_3639388269683853_8478288958205543333_n_face_3.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '407988834_3639388743017139_4769678490735192250_n_face_1.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}]",2.169164,HanhNguyen_324512849_5772098636242202_7009827643447157859_n_face_3.jpg,2.169164,0.0
"[{'target_node': '406321936_3632991383648430_3196325616899978620_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '407088160_3639340409688639_6417481514085222304_n_face_1.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}]",3.035883,Hien_406321936_3632991383648430_3196325616899978620_n(1)_face_0.jpg,3.035883,0.0
"[{'target_node': '305254369_188013333680855_7071234379019511586_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '313426940_1442357016287641_4462072966231815312_n_face_5.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '358427956_3373370076127671_2302542668434134118_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '358540395_3373370219460990_5781596764201152638_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '397359603_1103147360668240_139194907936725151_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '400447193_894766958667505_7707180124773793803_n_face_2.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '406321936_3632991383648430_3196325616899978620_n_face_1.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '406340134_3632991450315090_6871779816903040518_n_face_2.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '406394509_3632991190315116_5607942920204977204_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '406842793_3632991273648441_7440216377130668306_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '406845945_3632991410315094_6906797271977777596_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '406872895_3632991163648452_3995271318796123687_n_face_2.jpg', 'results': [{'photoName': '406321936_3632991383648430_3196325616899978620_n.jpg'}, {'photoName': '406340134_3632991450315090_6871779816903040518_n.jpg'}, {'photoName': '406394509_3632991190315116_5607942920204977204_n.jpg'}, {'photoName': '406842793_3632991273648441_7440216377130668306_n.jpg'}, {'photoName': '406845945_3632991410315094_6906797271977777596_n.jpg'}, {'photoName': '406872895_3632991163648452_3995271318796123687_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '407095384_3639388423017171_5874860919386442749_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '82897128_568456797075264_1359052399779512320_n_face_1.jpg', 'results': [{'photoName': '371118912_661189002739922_5372062712138945873_n.jpg'}, {'photoName': '82897128_568456797075264_1359052399779512320_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': 'b2d9c6c8aa52030c5a434_face_0.jpg', 'results': [{'photoName': '313426940_1442357016287641_4462072966231815312_n.jpg'}, {'photoName': '324237820_720287849683421_9174401543287348821_n.jpg'}, {'photoName': '407060887_3639388803017133_7810148229669895938_n.jpg'}, {'photoName': '407150595_3639388639683816_8753333296086342987_n.jpg'}, {'photoName': '407191377_3639388203017193_6514819625365233709_n.jpg'}, {'photoName': '407979820_3639388103017203_8288626986477414512_n.jpg'}, {'photoName': 'b2d9c6c8aa52030c5a434.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}]",2.331969,Hien_406321936_3632991383648430_3196325616899978620_n(1)_face_1.jpg,2.331969,0.0
[],2.710173,Hòa_277172014_2789142114714484_8396578469223014867_n_face_0.jpg,2.710173,0.0
"[{'target_node': '305254369_188013333680855_7071234379019511586_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '406842793_3632991273648441_7440216377130668306_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '407979820_3639388103017203_8288626986477414512_n_face_5.jpg', 'results': [{'photoName': '407979820_3639388103017203_8288626986477414512_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '51505979_2363814310516135_255827935984877568_n_face_2.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '67316147_1661896823942230_8548814961655152640_n_face_2.jpg', 'results': [{'photoName': '407113452_3639388386350508_2451942552845854960_n.jpg'}, {'photoName': '407134685_3639388296350517_2115795026295978459_n.jpg'}, {'photoName': '67316147_1661896823942230_8548814961655152640_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '73319313_739653196504262_6720202063805939712_n_face_0.jpg', 'results': [{'photoName': '131115545_993292934527387_7458509653919543301_n.jpg'}, {'photoName': '277002428_1265755360617417_771926076925265040_n.jpg'}, {'photoName': '307015389_1389762558216696_4152560360565145067_n.jpg'}, {'photoName': '313426940_1442357016287641_4462072966231815312_n.jpg'}, {'photoName': '324893899_2132123837176590_3598786593678318630_n.jpg'}, {'photoName': '326109993_1144490029546535_2343500172480965938_n.jpg'}, {'photoName': '347788541_938048560578635_7398858451862090751_n.jpg'}, {'photoName': '358540395_3373370219460990_5781596764201152638_n.jpg'}, {'photoName': '401050084_1674920153031325_8191451277421535648_n.jpg'}, {'photoName': '402861825_897199621757572_7242099948154588469_n.jpg'}, {'photoName': '407095384_3639388423017171_5874860919386442749_n.jpg'}, {'photoName': '407101417_3639388936350453_6894642927597124613_n.jpg'}, {'photoName': '407141615_3639387889683891_7697099033717682841_n.jpg'}, {'photoName': '408680322_3639388866350460_7622454068483166104_n.jpg'}, {'photoName': '51505979_2363814310516135_255827935984877568_n.jpg'}, {'photoName': '73319313_739653196504262_6720202063805939712_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}]",2.38648,Khanh Vi_60254981_1191994787634339_1709405406238867456_n_face_0.jpg,2.38648,0.0
"[{'target_node': '313426940_1442357016287641_4462072966231815312_n_face_5.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '407988834_3639388743017139_4769678490735192250_n_face_2.jpg', 'results': [{'photoName': '407988834_3639388743017139_4769678490735192250_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '82897128_568456797075264_1359052399779512320_n_face_1.jpg', 'results': [{'photoName': '371118912_661189002739922_5372062712138945873_n.jpg'}, {'photoName': '82897128_568456797075264_1359052399779512320_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}]",2.784709,Khanh Vi_60254981_1191994787634339_1709405406238867456_n_face_1.jpg,2.784709,0.0
[],2.504243,Khanh Vi_60254981_1191994787634339_1709405406238867456_n_face_2.jpg,2.504243,0.0
"[{'target_node': '71032160_2263794153932339_531970139566899200_n_face_1.jpg', 'results': [{'photoName': '281605609_1834092600113789_7491222588183879240_n.jpg'}, {'photoName': '281731418_1834092586780457_739955116613411023_n.jpg'}, {'photoName': '281832458_1834092620113787_2356840837714835516_n.jpg'}, {'photoName': '365977950_650853723773450_5063078229328757805_n.jpg'}, {'photoName': '399625242_359882613160592_6481206554306262958_n.jpg'}, {'photoName': '407952913_3639388379683842_5678858926668568693_n.jpg'}, {'photoName': '71032160_2263794153932339_531970139566899200_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '71376990_2269228913388863_8740995824525246464_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}, {'target_node': '71657527_2269229010055520_3480768975602712576_n_face_0.jpg', 'results': [{'photoName': '65106993_2196791300632625_1742657159008616448_n.jpg'}, {'photoName': '71376990_2269228913388863_8740995824525246464_n.jpg'}, {'photoName': '71657527_2269229010055520_3480768975602712576_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454760)}]",2.263931,Khanh Vi_60254981_1191994787634339_1709405406238867456_n_face_3.jpg,2.263931,0.0
